1	1	"Antonia"	1	1	476	1	1	237
5	1	"Antonia"	12	0.828	385	12	0.751	171
9	1	"Antonia"	24	0.667	298	24	0.555	123
13	1	"Antonia"	36	0.583	205	36	0.433	79
18	2	"Foster"	1	1	228	1	1	3343
19	2	"Foster"	12	0.679	147	12	0.571	1760
21	2	"Foster"	24	0.382	56	24	0.316	726
22	2	"Foster"	36	0.313	15	36	0.196	139
23	3	"Bates"	1	1	285	1	1	3621
24	3	"Bates"	12	0.587	167	12	0.558	2020
25	3	"Bates"	24	0.348	58	24	0.308	622
26	3	"Bates"	36	0.203	12	36	0.197	122
29	4	"Shaverdian"	1	1	55	1	1	42
31	4	"Shaverdian"	12	0.44	17	12	0.301	17
33	4	"Shaverdian"	24	0.234	8	24	0.151	9
35	4	"Shaverdian"	36	0.184	1	36	0.125	1
37	6	"Theelen"	1	1	76	1	1	72
39	6	"Theelen"	12	0.651	33	12	0.432	49
41	6	"Theelen"	24	0.421	18	24	0.281	29
43	6	"Theelen"	36	0.338	6	36	0.234	7
